icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ae1fa6,TALON75 ,United States,1778033664,1778033670,-116.8908,43.8175,1417.32,false,48.83,318.42,0.0,,1386.84,,false,0
ab1644,UAL1913 ,United States,1778033939,1778033939,-104.8377,40.3198,5196.84,false,176.74,338.66,9.1,,5181.6,0642,false,0
801642,AXB1032 ,India,1778033933,1778033935,82.7138,26.6185,11887.2,false,267.02,95.08,0.0,,12412.98,,false,0
ab6fdd,AAL363  ,United States,1778033939,1778033939,-81.389,33.1885,11277.6,false,193.13,347.85,0.0,,11719.56,3505,false,0
a3b87f,DAL2703 ,United States,1778033939,1778033939,-85.392,42.6143,10668.0,false,276.98,110.89,-0.33,,10690.86,2454,false,0
80162e,AIC8XR  ,India,1778033884,1778033884,77.0729,28.5491,274.32,false,71.49,103.74,-4.23,,198.12,6321,false,0
8744f6,ANA246  ,Japan,1778033937,1778033939,134.7486,34.1765,11887.2,false,303.61,77.87,0.0,,12359.64,3455,false,0
80163d,IGO141P ,India,1778033938,1778033939,77.2484,26.7514,9288.78,false,234.09,0.63,-5.53,,9646.92,,false,0
801648,"",India,,1778033939,,,,false,207.21,157.83,-10.08,,,,false,0
a52bd9,N432PH  ,United States,1778033891,1778033893,-97.4325,32.3519,365.76,false,13.39,357.8,-1.3,,281.94,,false,0
801657,AIC5MT  ,India,1778033939,1778033939,76.8099,27.4411,8054.34,false,243.57,192.07,7.48,,8343.9,,false,0
c81bcc,ZKTAE   ,New Zealand,1778033731,1778033731,176.168,-37.6851,152.4,false,34.65,310.79,-2.93,,297.18,,false,0
a36898,DAL825  ,United States,1778033937,1778033939,-102.422,36.6146,10363.2,false,181.52,280.45,0.0,,10568.94,,false,0
acdfa3,ASA443  ,United States,1778033939,1778033939,-95.4969,46.4495,10363.2,false,212.43,290.41,-0.33,,10081.26,3007,false,0
adffb0,JUMP84  ,United States,1778033939,1778033939,-102.203,31.9147,2240.28,false,101.7,11.08,-15.28,,2270.76,,false,0
801616,IGO064  ,India,1778033660,1778033803,56.4624,22.8431,11277.6,false,250.06,76.68,0.33,,11978.64,,false,0
801623,AXB1067 ,India,1778033939,1778033939,86.2976,25.7112,9730.74,false,223.82,114.15,-5.2,,10187.94,0574,false,0
a5955b,UPS1323 ,United States,1778033939,1778033939,-78.0259,35.1242,11277.6,false,237.6,37.79,0.0,,11620.5,2652,false,0
80160f,IGO2706 ,India,1778033939,1778033939,77.2154,27.3665,6835.14,false,191.74,3.54,-12.68,,7078.98,,false,0
a15bf8,N187PF  ,United States,1778033932,1778033932,-158.0836,21.3075,182.88,false,35.3,316.77,3.25,,205.74,3767,false,0
ab0347,N80896  ,United States,1778033939,1778033939,-97.5484,30.4676,998.22,false,48.37,1.22,3.25,,952.5,,false,0
7c2ebe,JIO     ,Australia,1778033940,1778033940,144.6921,-37.8863,396.24,false,48.78,62.35,0.65,,426.72,1200,false,0
801627,AXB1012 ,India,1778033939,1778033939,75.4561,31.7105,11582.4,false,226.34,15.96,0.0,,11955.78,,false,0
8a02e1,PKCAN   ,Indonesia,1778033790,1778033804,108.4407,-7.3213,7620.0,false,128.02,118.83,0.0,,8145.78,2404,false,0
a0e250,AAL1933 ,United States,1778033939,1778033939,-71.8833,41.5915,6012.18,false,216.09,68.2,-7.48,,6126.48,2262,false,0
a48850,UPS266  ,United States,1778033939,1778033939,9.988,47.7748,10050.78,false,232.84,152.93,-0.65,,10050.78,3160,false,0
a77ed4,N582RG  ,United States,1778033936,1778033936,-87.4643,30.5625,1470.66,false,77.21,60.02,-1.63,,1508.76,0137,false,0
ad694c,SWA4255 ,United States,1778033939,1778033939,-121.9257,37.3653,,true,0.0,47.81,,,,,false,0
80161d,AKJ1405 ,India,1778033939,1778033939,76.9645,28.4696,2613.66,false,112.05,283.27,-2.28,,2667.0,,false,0
80161e,AKJ1421 ,India,1778033938,1778033939,77.7932,14.0013,5996.94,false,201.57,17.83,8.78,,6248.4,,false,0
c047cf,CGBFA   ,Canada,1778033939,1778033939,-79.8498,43.7518,601.98,false,42.3,41.05,3.58,,518.16,1200,false,0
80166a,AKJ1925 ,India,1778033939,1778033939,84.7627,23.0697,10668.0,false,265.65,92.22,0.0,,11231.88,6404,false,0
adeca5,AAL1012 ,United States,1778033939,1778033939,-106.0845,31.977,10911.84,false,175.58,260.9,0.98,,11247.12,1731,false,0
ac232e,N881ST  ,United States,1778033939,1778033939,-94.6732,40.5659,10668.0,false,279.1,125.62,0.33,,10668.0,,false,0
0aa002,Q8PBSD  ,Barbados,1778033893,1778033893,-72.0683,42.617,5676.9,false,203.58,98.87,-10.73,,5737.86,6304,false,0
adffbe,COOL25  ,United States,1778033939,1778033939,-99.4274,30.2242,6705.6,false,205.99,241.83,-1.3,,7025.64,2242,false,0
801683,AXB478  ,India,1778033937,1778033938,53.2902,22.7267,9448.8,false,246.57,97.67,0.0,,10020.3,2116,false,0
a47597,DAL1419 ,United States,1778033939,1778033939,-77.7857,33.3359,12496.8,false,204.44,8.54,0.0,,12885.42,,false,0
801689,AXB1347 ,India,1778033897,1778033900,77.7615,13.1891,1097.28,false,79.74,270.37,-3.9,,1036.32,,false,0
4bc8c8,PGT1577 ,Turkey,1778033939,1778033939,21.6793,48.9831,10668.0,false,228.92,168.46,0.0,,10789.92,4513,false,0
a4757f,N387CB  ,United States,1778033939,1778033939,-89.3325,42.2963,5577.84,false,151.12,276.25,-6.83,,5486.4,5470,false,0
801680,AXB1026 ,India,1778033938,1778033939,81.1695,26.7394,1463.04,false,113.18,0.52,-6.18,,1440.18,,false,0
80167b,AIC8CW  ,India,1778033938,1778033939,76.6349,26.2595,10050.78,false,245.33,176.51,0.0,,10485.12,,false,0
abf008,SWA210  ,United States,1778033939,1778033939,-89.4948,40.0887,8839.2,false,258.77,53.24,-0.33,,8923.02,,false,0
